primaryName,actriz_score_mean,actriz_score_max,actriz_score_std,actriz_ganador_oscar_prom,actriz_nominado_oscar_prom
Aasta Voss,,,,0.0,0.0
Aastha,,,,0.0,0.0
Aastha Gaur,7.4,7.4,,0.0,0.0
Aastha Gautam,8.3,8.3,,0.0,0.0
Aastha Sawant,6.9,6.9,,0.0,0.0
Aathira,,,,0.0,0.0
Aathira Rajeev,,,,0.0,0.0
Aathmika,7.5,7.5,,0.0,0.0
Aava Merikanto,5.7,5.8,0.09999999999999987,0.0,0.0
Aava Rokkanen,5.5,5.5,,0.0,0.0
Aavaana,6.7,6.7,,0.0,0.0
Aavani,,,,0.0,0.0
Aavani Saseendran,,,,0.0,0.0
Aavi Haas,,,,0.0,0.0
Aayesha Vindhara,7.6,7.6,,0.0,0.0
Aayira,5.85,6.0,0.21213203435596445,0.0,0.0
Aayisha Humphrey,6.65,7.0,0.49497474683058307,0.0,0.0
Aayusha Basnet,6.6,6.6,,0.0,0.0
Aayushi,,,,0.0,0.0
Aayushi Bhave,,,,0.0,0.0
Aayushi Dhakal,,,,0.0,0.0
Aayushi Dholakia,,,,0.0,0.0
Aayushi Lahiri,,,,0.0,0.0
Aazhiya Senthilkumar,,,,0.0,0.0
Aba,4.5,4.5,,0.0,0.0
Abacca Anjain-Maddison,5.1,5.1,,0.0,0.0
Abai Bashang,6.0,6.0,,0.0,0.0
Abak Safaei-Rad,6.85,7.0,0.2121320343559638,0.0,0.0
Aban Askari,5.5,5.5,,0.0,0.0
Aban Soni,3.4,3.4,,0.0,0.0
Aban Sonia,2.7,2.7,,0.0,0.0
Abanti Bandyopadhyay,8.1,8.1,,0.0,0.0
Abantika Biswas,7.5,7.5,,0.0,0.0
Abao Chen,6.2,6.2,,0.0,0.0
Abaranam,,,,0.0,0.0
Abarnathi,,,,0.0,0.0
Abarrane Issabeau,5.9,5.9,,0.0,0.0
Abbandandolo Brenda,3.7,3.7,,0.0,0.0
Abbas Meriam,6.733333333333333,7.6,0.6500000000000001,0.0,0.0
Abbe Andersen,,,,0.0,0.0
Abbe Ertel Magid,4.8,5.6,1.1313708498984758,0.0,0.0
Abbe Holmes,5.275,7.1,1.3961255912942312,0.0,0.0
Abbe Lane,5.2,5.9,0.6557438524302003,0.0,0.0
Abbe Rentz,4.3,4.3,,0.0,0.0
Abbe Rowlins,5.1,5.9,1.1313708498984762,0.0,0.0
Abbe-Gail Hartogh,5.1,5.1,,0.0,0.0
Abbee Fernandes,8.1,8.1,,0.0,0.0
Abbey,7.2,7.2,,0.0,0.0
Abbey Aziz,5.449999999999999,6.1,0.919238815542512,0.0,0.0
Abbey Barnett,6.6,6.6,,0.0,0.0
Abbey Bavley,5.9,5.9,,0.0,0.0
Abbey Bender,,,,0.0,0.0
Abbey Birk,,,,0.0,0.0
Abbey Blake,5.1,5.1,,0.0,0.0
Abbey Brau,8.9,8.9,,0.0,0.0
Abbey Briscoe,3.3,3.3,,0.0,0.0
Abbey Burkholder,7.9,7.9,,0.0,0.0
Abbey Butler,,,,0.0,0.0
Abbey Conlee,,,,0.0,0.0
Abbey Crane,,,,0.0,0.0
Abbey Finch,5.0,5.0,,0.0,0.0
Abbey Flockton,,,,0.0,0.0
Abbey Flora,8.5,8.5,,0.0,0.0
Abbey Foxcroft,,,,0.0,0.0
Abbey Gillett,3.2,3.2,,0.0,0.0
Abbey Girdner,,,,0.0,0.0
Abbey Grace Howe,,,,0.0,0.0
Abbey Hafer,5.6,5.6,,0.0,0.0
Abbey Hauswirth,,,,0.0,0.0
Abbey Healey,6.2,6.2,,0.0,0.0
Abbey Heller,3.4,3.4,,0.0,0.0
Abbey Hepner,,,,0.0,0.0
Abbey Hickey,7.7,7.7,,0.0,0.0
Abbey Hoes,5.966666666666668,6.8,0.6257117159804116,0.0,0.0
Abbey Hope,7.2,7.2,,0.0,0.0
Abbey Hunt,8.2,8.2,,0.0,0.0
Abbey Jackson,,,,0.0,0.0
Abbey Killin,,,,0.0,0.0
Abbey Kochman,4.3999999999999995,7.5,2.7073972741361767,0.0,0.0
Abbey Lee,5.74,8.1,1.0265367883216743,0.0,0.0
Abbey Lincoln,7.050000000000001,7.9,1.202081528017131,0.0,0.0
Abbey Lipe,,,,0.0,0.0
Abbey Lowenstein,,,,0.0,0.0
Abbey May,,,,0.0,0.0
Abbey McBride,6.1,6.1,,0.0,0.0
Abbey McCaughan,,,,0.0,0.0
Abbey Merow,5.9,5.9,,0.0,0.0
Abbey Northey,,,,0.0,0.0
Abbey O'Bryan,7.9,7.9,,0.0,0.0
Abbey Pleviak,,,,0.0,0.0
Abbey Romero,,,,0.0,0.0
Abbey Ruchkall,,,,0.0,0.0
Abbey Siegworth,4.9,4.9,,0.0,0.0
Abbey Stirling,4.7,4.7,,0.0,0.0
Abbey Thickson,5.65,5.7,0.07071067811865545,0.0,0.0
Abbey Ward,,,,0.0,0.0
Abbey-Rose Leed,7.2,7.2,,0.0,0.0
Abbi Butler,6.25,7.1,0.9983319421247957,0.0,0.0
Abbi Climenhaga,5.4,5.4,,0.0,0.0
Abbi Jacobson,5.05,6.1,1.707825127659933,0.0,0.0
Abbi Snee,4.3,4.3,,0.0,0.0
Abbi Stevenson,,,,0.0,0.0
Abbie Alvarez,6.8,6.8,,0.0,0.0
Abbie Balchin,4.5,4.5,,0.0,0.0
Abbie Barrett,,,,0.0,0.0
Abbie Bolton,4.3,4.3,,0.0,0.0
Abbie Brooks,,,,0.0,0.0
Abbie Burns,6.3,6.3,,0.0,0.0
Abbie Cobb,5.18,6.2,0.6833739825307955,0.0,0.0
Abbie Cornish,6.2875000000000005,8.1,0.9289135776715768,0.0,0.0
Abbie Del Villar Chi,6.3,6.3,,0.0,0.0
Abbie Dunphy,6.7,6.7,,0.0,0.0
Abbie Dutton,5.5,5.5,,0.0,0.0
Abbie Fatty,6.8,6.8,,0.0,0.0
Abbie Gallagher,,,,0.0,0.0
Abbie Gayle,4.15,4.6,0.5066228051190219,0.0,0.0
Abbie Georganna,,,,0.0,0.0
Abbie Glozier,6.1,6.1,,0.0,0.0
Abbie Gwinn,7.3,7.3,,0.0,0.0
Abbie Hannam,,,,0.0,0.0
Abbie Hills,,,,0.0,0.0
Abbie Hirst,3.4000000000000004,4.4,1.4142135623730951,0.0,0.0
Abbie Louise Birtles,4.9,4.9,,0.0,0.0
Abbie Love,,,,0.0,0.0
Abbie Magnuson,4.4,4.4,,0.0,0.0
Abbie Mason,4.3,4.3,,0.0,0.0
Abbie Murphy,5.25,6.3,1.4849242404917495,0.0,0.0
Abbie Roberts,4.1,4.1,,0.0,0.0
Abbie Salt,3.7,3.7,,0.0,0.0
Abbie Spallen,6.2,6.2,,0.0,0.0
Abbie Steele,3.45,4.0,0.7778174593052025,0.0,0.0
Abbie Vane-Tempast,,,,0.0,0.0
Abbie Wasserman,,,,0.0,0.0
Abbie Welsch,,,,0.0,0.0
Abbilyn Chuha,3.5,3.5,,0.0,0.0
Abbs Lambert,,,,0.0,0.0
Abby,4.0,4.0,,0.0,0.0
Abby Abadi,5.42,6.9,1.1122050170719429,0.0,0.0
Abby Achtenberg,5.4,5.4,,0.0,0.0
Abby Ahmad,8.4,8.4,,0.0,0.0
Abby Apple Boes,,,,0.0,0.0
Abby Arnold,,,,0.0,0.0
Abby Auon,6.6,6.6,,0.0,0.0
Abby Avis,,,,0.0,0.0
Abby Awe,4.6,4.6,,0.0,0.0
Abby Barsh,,,,0.0,0.0
Abby Bautista,6.2,7.5,0.9633275663033836,0.0,0.0
Abby Berg,6.75,6.8,0.0707106781186545,0.0,0.0
Abby Bluestone,6.5,6.5,0.0,0.0,0.0
Abby Bolas,,,,0.0,0.0
Abby Brammell,6.2,7.7,1.3880441875771343,0.0,0.0
Abby Bremseth,,,,0.0,0.0
Abby Brian,3.3,3.3,,0.0,0.0
Abby Broadway,6.8,6.8,,0.0,0.0
Abby Brown,,,,0.0,0.0
Abby Bryan,,,,0.0,0.0
Abby Buist,,,,0.0,0.0
Abby Cane,,,,0.0,0.0
Abby Carter,6.0,6.0,,0.0,0.0
Abby Cassidy,7.0,7.0,,0.0,0.0
Abby Cawiezell,7.5,7.5,,0.0,0.0
Abby Chu,,,,0.0,0.0
Abby Ciardelli,4.4,4.4,,0.0,0.0
Abby Clark,,,,0.0,0.0
Abby Colton,,,,0.0,0.0
Abby Corrigan,5.425,6.3,0.7088723439378914,0.0,0.0
Abby Coville,8.3,8.3,,0.0,0.0
Abby Craden,6.85,7.5,0.9192388155425113,0.0,0.0
Abby Dalton,4.74,5.5,0.7569676347110222,0.0,0.0
Abby Damen,6.2,6.2,,0.0,0.0
Abby Dawson,2.6,2.6,,0.0,0.0
Abby Dempster,,,,0.0,0.0
Abby Donnelly,5.0,5.1,0.141421356237309,0.0,0.0
Abby Dorning,6.9,6.9,,0.0,0.0
