primaryName,director_score_mean,director_score_max,director_score_std,director_ganador_oscar_prom,director_nominado_oscar_prom
Aaron Lee Lopez,7.05,8.7,2.0007498594277093,0.0,0.0
Aaron Lehmann,,,,0.0,0.0
Aaron Leong,3.3,3.3,,0.0,0.0
Aaron Lieber,6.7,7.4,0.9899494936611668,0.0,0.0
Aaron Lim,4.0,4.0,,0.0,0.0
Aaron Lindenthaler,7.9,7.9,,0.0,0.0
Aaron Lipstadt,4.15,5.8,2.333452377915607,0.0,0.0
Aaron London Thomas,,,,0.0,0.0
Aaron Lubarsky,7.6,7.6,,0.0,0.0
Aaron M. Abelto,6.75,8.5,2.4748737341529163,0.0,0.0
Aaron M. Johnson,7.1,7.1,,0.0,0.0
Aaron M. Kahn,5.5,5.5,,0.0,0.0
Aaron M. Peters,5.8,5.8,,0.0,0.0
Aaron M. Womack,7.8,7.8,,0.0,0.0
Aaron MacCarley,,,,0.0,0.0
Aaron Mak,,,,0.0,0.0
Aaron Maloney,,,,0.0,0.0
Aaron Margolis,,,,0.0,0.0
Aaron Margolis-Greenbaum,,,,0.0,0.0
Aaron Marinel,,,,0.0,0.0
Aaron Mark,,,,0.0,0.0
Aaron Marshall,6.9,6.9,,0.0,0.0
Aaron Martinez,8.2,8.2,,0.0,0.0
Aaron Matthews,8.25,8.8,0.4932882862316254,0.0,0.0
Aaron Maurer,,,,0.0,0.0
Aaron McAdams,,,,0.0,0.0
Aaron McCann,4.925,6.5,1.8117670931993435,0.0,0.0
Aaron McJames,,,,0.0,0.0
Aaron Mendelsohn,5.2,5.2,,0.0,0.0
Aaron Mento,5.9,6.5,0.8485281374238575,0.0,0.0
Aaron Michael Esmonde,,,,0.0,0.0
Aaron Michael Lacey,6.3,6.3,,0.0,0.0
Aaron Michael Metchik,5.8,5.8,,0.0,0.0
Aaron Michael Stahlecker,,,,0.0,0.0
Aaron Micheal Dill,,,,0.0,0.0
Aaron Migdon,,,,0.0,0.0
Aaron Mirtes,3.3200000000000003,4.1,0.5263078946776306,0.0,0.0
Aaron Moffatt,,,,0.0,0.0
Aaron Mooar,,,,0.0,0.0
Aaron Moorhead,6.057142857142857,7.0,0.9589180410878759,0.0,0.0
Aaron Moser,,,,0.0,0.0
Aaron Mucke,,,,0.0,0.0
Aaron Mull,,,,0.0,0.0
Aaron N. Feldman,6.2,6.2,,0.0,0.0
Aaron Nee,6.2,6.4,0.2828427124746193,0.0,0.0
Aaron Newman,7.4,7.4,,0.0,0.0
Aaron Newsom,,,,0.0,0.0
Aaron Noonan,8.3,8.3,,0.0,0.0
Aaron Normand,2.6,2.6,,0.0,0.0
Aaron Norris,4.775,5.3,0.5946187253790689,0.0,0.0
Aaron Ontiveroz,,,,0.0,0.0
Aaron Osborne,3.5666666666666664,3.7,0.11547005383792529,0.0,0.0
Aaron Pacentine,,,,0.0,0.0
Aaron Pagniano,3.6,3.6,,0.0,0.0
Aaron Palermo,,,,0.0,0.0
Aaron Parnell,,,,0.0,0.0
Aaron Parpart,4.65,5.4,1.0606601717798219,0.0,0.0
Aaron Pate,,,,0.0,0.0
Aaron Patrick Lenyear,5.8,5.8,,0.0,0.0
Aaron Paustian,,,,0.0,0.0
Aaron Pederis,4.6,4.6,,0.0,0.0
Aaron Petersen,7.5,7.5,,0.0,0.0
Aaron Porteous,8.0,8.0,,0.0,0.0
Aaron Potter,4.3,4.3,,0.0,0.0
Aaron Putnam,,,,0.0,0.0
Aaron R. Thomas,,,,0.0,0.0
Aaron Rao,,,,0.0,0.0
Aaron Ray Ballard,4.1,4.1,,0.0,0.0
Aaron Re,7.1,7.1,,0.0,0.0
Aaron Reese,7.5,7.5,,0.0,0.0
Aaron Rench,7.8,7.8,,0.0,0.0
Aaron Rickel,,,,0.0,0.0
Aaron Robertson,,,,0.0,0.0
Aaron Robson,2.7,2.7,,0.0,0.0
Aaron Rockett,,,,0.0,0.0
