primaryName,actor_score_mean,actor_score_max,actor_score_std,actor_ganador_oscar_prom,actor_nominado_oscar_prom
A.J. Rome,4.5,4.5,,0.0,0.0
A.J. Rusulis,,,,0.0,0.0
A.J. Salisbury,5.5,5.5,,0.0,0.0
A.J. Sass,,,,0.0,0.0
A.J. Schmidt,,,,0.0,0.0
A.J. Shively,,,,0.0,0.0
A.J. Simmons,7.5,7.5,,0.0,0.0
A.J. Stabone,4.1,4.1,,0.0,0.0
A.J. Stephans,5.6,5.6,,0.0,0.0
A.J. Sullivan,5.6,5.6,,0.0,0.0
A.J. Summers,9.4,9.4,,0.0,0.0
A.J. Sweatt,6.1,6.1,,0.0,0.0
A.J. Tannen,5.375,6.0,0.7804912982645399,0.0,0.0
A.J. Tartleton,4.5,4.5,,0.0,0.0
A.J. Todd,2.3,2.3,,0.0,0.0
A.J. Trauth,5.9,6.2,0.4242640687119292,0.0,0.0
A.J. Valentine,4.5,4.5,,0.0,0.0
A.J. Vallejo,,,,0.0,0.0
A.J. Villarreal,3.4,3.4,,0.0,0.0
A.J. Weberman,,,,0.0,0.0
A.J. Wone,6.1000000000000005,8.3,1.9287301521985913,0.0,0.0
A.J. Woods,4.9,4.9,,0.0,0.0
A.J. Wright,5.0,5.0,,0.0,0.0
A.J. de Soysa,7.1,7.4,0.4242640687119292,0.0,0.0
A.J. van der Merwe,6.85,7.6,0.5446711546122728,0.0,0.0
A.J.P. Taylor,,,,0.0,0.0
A.K. Agnihotri,4.7,4.7,,0.0,0.0
A.K. Azad,5.6,5.6,,0.0,0.0
A.K. Azad Shetu,7.0,7.0,,0.0,0.0
A.K. Braxton,7.8,7.8,,0.0,0.0
A.K. Hangal,6.565116279069768,8.4,1.0600518790701279,0.0,0.0
A.K. Ibrahim,,,,0.0,0.0
A.K. Jailani,7.925,8.4,0.44253060157839186,0.0,0.0
A.K. Lohithadas,7.7,7.7,,0.0,0.0
A.K. Pradeep,,,,0.0,0.0
A.K. Qureshi,7.4,7.4,,0.0,0.0
A.K. Raman,5.3,5.3,,0.0,0.0
A.K. Rana,4.6,4.6,,0.0,0.0
A.K. Strom,2.9,2.9,,0.0,0.0
A.K. Tiwari,,,,0.0,0.0
A.K. Veerasami,7.32,7.9,0.5357238094391552,0.0,0.0
A.K. Veeraswamy,7.566666666666666,8.1,0.6806859285554044,0.0,0.0
A.K.Elavazhagan,,,,0.0,0.0
A.K.M. Hasan,,,,0.0,0.0
A.K.S. Nambiar,8.5,8.5,,0.0,0.0
A.L. Alagappan,6.6,6.6,,0.0,0.0
A.L. Azhagappan,6.066666666666666,6.7,0.7094598884597588,0.0,0.0
A.L. Camp,6.7,6.7,,0.0,0.0
